BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
1,10.373491181781864,6.336825731146441,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
2,9.740968623038354,6.802394763324311,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2
3,10.819778284410283,6.907755278982137,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
1,9.210340371976184,6.476972362889683,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,10.4341158035983,6.327936783729195,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2
1,10.308952660644293,6.345636360828596,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2,9.472704636443673,7.003065458786462,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
1,9.546812608597396,4.0943445622221,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,11.918390573078392,7.600902459542082,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3
3,10.239959789157341,6.821107472256465,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2
1,8.779557455883728,6.396929655216146,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3,9.740968623038354,7.1308988302963465,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,10.714417768752456,7.307872780763706,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
1,8.411832675758411,6.1092475827643655,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2,9.903487552536127,6.551080335043404,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2
3,10.819778284410283,7.1308988302963465,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3
2,9.798127036878302,6.745236349484363,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2
2,9.392661928770137,6.907755278982137,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
3,9.680344001221918,7.090076835776092,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3
2,8.85366542803745,7.090076835776092,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
4,11.918390573078392,7.286191714702382,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4
3,9.903487552536127,7.047517221357296,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3
2,8.779557455883728,6.684611727667927,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
3,10.714417768752456,7.696212639346407,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3
1,8.699514748210191,5.991464547107982,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,9.546812608597396,7.003065458786462,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.305650551780507,6.620073206530356,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
2,8.987196820661973,7.2078598714324755,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2
1,9.104979856318357,6.396929655216146,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
2,9.210340371976184,5.703782474656201,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1,10.308952660644293,5.768320995793772,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
2,9.104979856318357,6.396929655216146,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
2,9.798127036878302,4.499809670330265,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
3,11.002099841204238,7.785305182539862,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4
2,9.392661928770137,6.745236349484363,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2
1,9.047821442478408,6.396929655216146,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2,9.047821442478408,6.907755278982137,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2
3,9.998797732340453,7.313220387090301,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
2,9.95227771670556,7.003065458786462,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2
1,8.517193191416238,5.991464547107982,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2,11.512925464970229,6.620073206530356,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2
2,9.392661928770137,7.003065458786462,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3,9.615805480084347,7.003065458786462,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2
1,10.4341158035983,5.8998973535824915,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,9.852194258148577,6.437751649736401,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
2,10.373491181781864,7.003065458786462,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2
2,9.433483923290392,6.214608098422191,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2
2,9.392661928770137,6.807934943699926,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2
1,9.740968623038354,6.413458957167357,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,9.305650551780507,7.1308988302963465,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
2,9.998797732340453,6.956545443151569,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
2,9.581903928408666,6.476972362889683,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,8.160518247477505,4.787491742782046,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
3,9.903487552536127,7.495541943884256,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
3,10.46310334047155,7.495541943884256,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3
1,8.699514748210191,5.991464547107982,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2,9.998797732340453,6.309918278226516,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2
1,8.987196820661973,6.214608098422191,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
